mahConsumed,Voltage
402.267,3.844
403.275,3.844
404.282,3.844
405.290,3.844
406.298,3.844
407.306,3.844
408.314,3.844
409.322,3.840
410.330,3.840
411.338,3.840
412.345,3.840
413.353,3.840
414.361,3.840
415.369,3.840
416.376,3.836
417.384,3.840
418.392,3.836
419.399,3.836
420.407,3.836
421.414,3.836
422.422,3.836
423.430,3.832
424.437,3.832
425.445,3.836
426.453,3.832
427.461,3.832
428.468,3.832
429.476,3.832
430.484,3.832
431.491,3.832
432.499,3.832
433.506,3.832
434.514,3.832
435.521,3.832
436.529,3.828
437.537,3.828
438.545,3.828
439.552,3.828
440.560,3.828
441.567,3.828
442.575,3.828
443.582,3.828
444.590,3.828
445.597,3.824
446.604,3.824
447.612,3.824
448.619,3.824
449.627,3.824
450.634,3.824
451.641,3.824
452.649,3.820
453.656,3.820
454.663,3.824
455.670,3.820
456.677,3.820
457.684,3.820
458.691,3.804
459.698,3.804
460.705,3.804
461.713,3.804
462.719,3.804
463.727,3.804
464.733,3.804
465.740,3.800
466.747,3.804
467.754,3.800
468.761,3.800
469.767,3.800
470.774,3.800
471.781,3.800
472.788,3.800
473.795,3.796
474.802,3.800
475.808,3.796
476.815,3.796
477.822,3.796
478.828,3.796
479.835,3.796
480.842,3.796
481.849,3.796
482.856,3.796
483.862,3.796
484.869,3.792
485.876,3.792
486.883,3.792
487.889,3.792
488.897,3.792
489.904,3.792
490.911,3.792
491.918,3.792
492.925,3.792
493.931,3.788
494.938,3.788
495.944,3.788
496.951,3.784
497.957,3.788
498.964,3.784
499.971,3.788
500.978,3.788
501.985,3.784
502.992,3.784
503.998,3.784
505.005,3.784
506.012,3.784
507.018,3.784
508.025,3.780
509.031,3.780
510.038,3.780
511.045,3.780
512.051,3.780
513.059,3.780
514.067,3.776
515.074,3.780
516.081,3.776
517.089,3.776
518.096,3.776
519.103,3.776
520.111,3.776
521.118,3.776
522.126,3.772
523.133,3.772
524.141,3.772
525.148,3.772
526.156,3.772
527.163,3.772
528.171,3.768
529.178,3.768
530.186,3.768
531.193,3.768
532.200,3.768
533.208,3.768
534.215,3.768
535.222,3.764
536.230,3.764
537.237,3.768
538.244,3.764
539.251,3.764
540.259,3.764
541.265,3.764
542.273,3.760
543.280,3.760
544.287,3.760
545.294,3.760
546.300,3.760
547.307,3.760
548.314,3.760
549.321,3.760
550.328,3.756
551.335,3.756
552.342,3.760
553.348,3.756
554.355,3.756
555.361,3.756
556.368,3.756
557.375,3.756
558.382,3.752
559.389,3.752
560.396,3.752
561.403,3.752
562.410,3.752
563.417,3.748
564.423,3.752
565.430,3.752
566.437,3.748
567.443,3.748
